Key,Value
Yummy,4.065415597527247
Been You,3.97871811993384
Mistletoe,3.977984936193781
What Do You Mean?,3.9670174615301574
Children,3.941816840014136
Christmas Love,3.8042621870703366
What Do You Mean? - Acoustic,3.782626067137724
"Selfie Pulla (From ""Kaththi"")",3.7127643433683817
Aa Zara,3.6961862284533966
Life Is Worth Living,3.678597792214541
Marjaani,3.664654148602893
Somebody To Love,3.664575689666841
Kamli,3.645137763477225
One Less Lonely Girl,3.606604944666506
Dance Pe Chance,3.5640808589808652
Soch Na Sake,3.5062246767219483
Tera Fitoor,3.500936810794822
"Mareez - E - Ishq (From ""Zid"")",3.45905653512638
Aaj Se Teri,3.4508167757785237
Malum Hai Na (Intro),3.4294752931133976
